Version|Variant|Milliseconds|Ticks|ItemCount
3|1|973|9736563|1000000
3|1|1004|10041059|1000000
3|1|999|9985023|1000000
3|1|840|8399680|1000000
3|1|821|8210017|1000000
3|1|771|7715555|1000000
3|1|783|7822580|1000000
3|1|756|7562486|1000000
3|1|802|8026931|1000000
3|1|808|8077000|1000000
3|1|870|8696079|1000000
3|1|869|8696813|1000000
3|1|889|8889160|1000000
3|1|821|8202943|1000000
3|1|878|8786300|1000000
3|1|866|8657445|1000000
3|1|897|8973524|1000000
3|1|896|8952709|1000000
3|1|927|9270065|1000000
3|1|1087|10875021|1000000
3|1|881|8807175|1000000
3|1|827|8274849|1000000
3|1|900|8997993|1000000
3|1|874|8739810|1000000
3|1|796|7954717|1000000
3|1|861|8615355|1000000
3|1|801|8007441|1000000
3|1|856|8563274|1000000
3|1|892|8917228|1000000
3|1|870|8697923|1000000
3|1|884|8840369|1000000
3|1|871|8710791|1000000
3|1|884|8843866|1000000
3|1|853|8523230|1000000
3|1|840|8401328|1000000
3|1|832|8327104|1000000
3|1|816|8154426|1000000
3|1|901|9014879|1000000
3|1|850|8498443|1000000
3|1|901|9003258|1000000
3|1|856|8568129|1000000
3|1|890|8896605|1000000
3|1|867|8667307|1000000
3|1|874|8744352|1000000
3|1|850|8497688|1000000
3|1|896|8958267|1000000
3|1|879|8794411|1000000
3|1|882|8813611|1000000
3|1|914|9147640|1000000
3|1|886|8852103|1000000
3|1|887|8878671|1000000
3|1|867|8669773|1000000
3|1|908|9078317|1000000
3|1|858|8582486|1000000
3|1|908|9079786|1000000
3|1|865|8644146|1000000
3|1|844|8445955|1000000
3|1|903|9023523|1000000
3|1|850|8497518|1000000
3|1|855|8555787|1000000
3|1|915|9147251|1000000
3|1|884|8845978|1000000
3|1|918|9170743|1000000
3|1|870|8705563|1000000
3|1|904|9043350|1000000
3|1|862|8617479|1000000
3|1|905|9045873|1000000
3|1|851|8513735|1000000
3|1|838|8379145|1000000
3|1|901|9013983|1000000
3|1|868|8673087|1000000
3|1|905|9052340|1000000
3|1|881|8814756|1000000
3|1|905|9044607|1000000
3|1|876|8761006|1000000
3|1|844|8440428|1000000
3|1|880|8795606|1000000
3|1|862|8626498|1000000
3|1|881|8807243|1000000
3|1|898|8984225|1000000
3|1|857|8567962|1000000
3|1|793|7928749|1000000
3|1|801|8007373|1000000
3|1|778|7779671|1000000
3|1|813|8128400|1000000
3|1|788|7884046|1000000
3|1|824|8237325|1000000
3|1|796|7962948|1000000
3|1|807|8070883|1000000
3|1|816|8160544|1000000
3|1|832|8315937|1000000
3|1|793|7936066|1000000
3|1|819|8181916|1000000
3|1|799|7996369|1000000
3|1|856|8560878|1000000
3|1|779|7782093|1000000
3|1|766|7662748|1000000
3|1|811|8109968|1000000
3|1|840|8398387|1000000
3|1|914|9145476|1000000
4|1|542|5420977|1000000
4|1|532|5319526|1000000
4|1|544|5444035|1000000
4|1|527|5270523|1000000
4|1|526|5262620|1000000
4|1|532|5314143|1000000
4|1|529|5296509|1000000
4|1|544|5437644|1000000
4|1|547|5468653|1000000
4|1|529|5287244|1000000
4|1|540|5398935|1000000
4|1|530|5300164|1000000
4|1|523|5232875|1000000
4|1|527|5272521|1000000
4|1|533|5332473|1000000
4|1|524|5235147|1000000
4|1|508|5080571|1000000
4|1|521|5210930|1000000
4|1|511|5110640|1000000
4|1|509|5088002|1000000
4|1|505|5052283|1000000
4|1|505|5044583|1000000
4|1|508|5085433|1000000
4|1|513|5129865|1000000
4|1|523|5224915|1000000
4|1|515|5150379|1000000
4|1|516|5161988|1000000
4|1|514|5137332|1000000
4|1|505|5053970|1000000
4|1|504|5039010|1000000
4|1|497|4968252|1000000
4|1|509|5093876|1000000
4|1|508|5079465|1000000
4|1|515|5147219|1000000
4|1|506|5066669|1000000
4|1|512|5113267|1000000
4|1|509|5096084|1000000
4|1|510|5097592|1000000
4|1|504|5037252|1000000
4|1|513|5134099|1000000
4|1|510|5097519|1000000
4|1|501|5005436|1000000
4|1|516|5167119|1000000
4|1|535|5350733|1000000
4|1|528|5279908|1000000
4|1|528|5272188|1000000
4|1|546|5459949|1000000
4|1|546|5463757|1000000
4|1|529|5293360|1000000
4|1|525|5244655|1000000
4|1|523|5228531|1000000
4|1|536|5366142|1000000
4|1|520|5202749|1000000
4|1|533|5324165|1000000
4|1|528|5279535|1000000
4|1|535|5352961|1000000
4|1|521|5210682|1000000
4|1|528|5277886|1000000
4|1|524|5244348|1000000
4|1|546|5456094|1000000
4|1|525|5252695|1000000
4|1|502|5016406|1000000
4|1|509|5091161|1000000
4|1|500|5003453|1000000
4|1|512|5113863|1000000
4|1|508|5083913|1000000
4|1|523|5225138|1000000
4|1|501|5007997|1000000
4|1|517|5179000|1000000
4|1|503|5021644|1000000
4|1|509|5097703|1000000
4|1|517|5164907|1000000
4|1|505|5054605|1000000
4|1|510|5098944|1000000
4|1|511|5107422|1000000
4|1|518|5179476|1000000
4|1|531|5307914|1000000
4|1|539|5395098|1000000
4|1|510|5093521|1000000
4|1|513|5132849|1000000
4|1|507|5069182|1000000
4|1|509|5088273|1000000
4|1|505|5058340|1000000
4|1|507|5064347|1000000
4|1|510|5104678|1000000
4|1|507|5069774|1000000
4|1|505|5043318|1000000
4|1|503|5035316|1000000
4|1|530|5299890|1000000
4|1|523|5224096|1000000
4|1|524|5240821|1000000
4|1|537|5370250|1000000
4|1|530|5302963|1000000
4|1|525|5255223|1000000
4|1|529|5282445|1000000
4|1|539|5393705|1000000
4|1|521|5206175|1000000
4|1|536|5366930|1000000
4|1|525|5244836|1000000
4|1|543|5433691|1000000
4|2|390|3907146|1000000
4|2|394|3940464|1000000
4|2|386|3860611|1000000
4|2|385|3842862|1000000
4|2|392|3928447|1000000
4|2|382|3815172|1000000
4|2|380|3800047|1000000
4|2|378|3776743|1000000
4|2|384|3841581|1000000
4|2|378|3777294|1000000
4|2|377|3773994|1000000
4|2|388|3882683|1000000
4|2|384|3834336|1000000
4|2|363|3630548|1000000
4|2|372|3718776|1000000
4|2|365|3657926|1000000
4|2|367|3667236|1000000
4|2|371|3709403|1000000
4|2|372|3722787|1000000
4|2|366|3656420|1000000
4|2|375|3753048|1000000
4|2|366|3662001|1000000
4|2|370|3693936|1000000
4|2|370|3700319|1000000
4|2|372|3720666|1000000
4|2|370|3702149|1000000
4|2|365|3647740|1000000
4|2|373|3734233|1000000
4|2|370|3694407|1000000
4|2|379|3787222|1000000
4|2|374|3748116|1000000
4|2|366|3655924|1000000
4|2|378|3781654|1000000
4|2|374|3737694|1000000
4|2|364|3646019|1000000
4|2|373|3723917|1000000
4|2|372|3723722|1000000
4|2|370|3702744|1000000
4|2|371|3703130|1000000
4|2|370|3705605|1000000
4|2|379|3785342|1000000
4|2|366|3660585|1000000
4|2|386|3856278|1000000
4|2|365|3653057|1000000
4|2|368|3676377|1000000
4|2|378|3786012|1000000
4|2|370|3694104|1000000
4|2|386|3865643|1000000
4|2|393|3926240|1000000
4|2|382|3822328|1000000
4|2|382|3819158|1000000
4|2|386|3857166|1000000
4|2|380|3800127|1000000
4|2|383|3834610|1000000
4|2|380|3798846|1000000
4|2|386|3863036|1000000
4|2|377|3770328|1000000
4|2|383|3829691|1000000
4|2|383|3823983|1000000
4|2|374|3741056|1000000
4|2|399|3991516|1000000
4|2|382|3822301|1000000
4|2|382|3813926|1000000
4|2|405|4051492|1000000
4|2|415|4151271|1000000
4|2|413|4131592|1000000
4|2|386|3862832|1000000
4|2|386|3859402|1000000
4|2|378|3776997|1000000
4|2|389|3890144|1000000
4|2|385|3852937|1000000
4|2|368|3673779|1000000
4|2|376|3760892|1000000
4|2|365|3651251|1000000
4|2|368|3684203|1000000
4|2|383|3828649|1000000
4|2|373|3726540|1000000
4|2|378|3781221|1000000
4|2|384|3844903|1000000
4|2|367|3669730|1000000
4|2|370|3696511|1000000
4|2|367|3672966|1000000
4|2|371|3704453|1000000
4|2|373|3730033|1000000
4|2|378|3779977|1000000
4|2|371|3716538|1000000
4|2|372|3713582|1000000
4|2|371|3708040|1000000
4|2|376|3764897|1000000
4|2|372|3722585|1000000
4|2|378|3776191|1000000
4|2|367|3674258|1000000
4|2|373|3721718|1000000
4|2|364|3649943|1000000
4|2|373|3722442|1000000
4|2|374|3746954|1000000
4|2|366|3652729|1000000
4|2|376|3764463|1000000
4|2|395|3951775|1000000
4|2|379|3790854|1000000
5|1|834|8346047|1000000
5|1|792|7916794|1000000
5|1|813|8128272|1000000
5|1|820|8204318|1000000
5|1|846|8455817|1000000
5|1|887|8869619|1000000
5|1|917|9175894|1000000
5|1|864|8639626|1000000
5|1|905|9053371|1000000
5|1|899|8987394|1000000
5|1|883|8832753|1000000
5|1|893|8921866|1000000
5|1|900|9005654|1000000
5|1|902|9013352|1000000
5|1|875|8756277|1000000
5|1|814|8133710|1000000
5|1|833|8329238|1000000
5|1|811|8116783|1000000
5|1|794|7935665|1000000
5|1|799|7989004|1000000
5|1|833|8333416|1000000
5|1|777|7767619|1000000
5|1|783|7833576|1000000
5|1|829|8292700|1000000
5|1|815|8149872|1000000
5|1|813|8128269|1000000
5|1|794|7934895|1000000
5|1|821|8209710|1000000
5|1|801|8011084|1000000
5|1|788|7885117|1000000
5|1|826|8259433|1000000
5|1|832|8318109|1000000
5|1|792|7919050|1000000
5|1|871|8708727|1000000
5|1|934|9338326|1000000
5|1|890|8899062|1000000
5|1|859|8599475|1000000
5|1|918|9180041|1000000
5|1|877|8767215|1000000
5|1|885|8850151|1000000
5|1|905|9044020|1000000
5|1|892|8920443|1000000
5|1|864|8645373|1000000
5|1|851|8503728|1000000
5|1|839|8398089|1000000
5|1|812|8111957|1000000
5|1|805|8055421|1000000
5|1|810|8101605|1000000
5|1|863|8627250|1000000
5|1|795|7954761|1000000
5|1|766|7657879|1000000
5|1|832|8312791|1000000
5|1|796|7968593|1000000
5|1|810|8100358|1000000
5|1|814|8137427|1000000
5|1|829|8287211|1000000
5|1|788|7880902|1000000
5|1|812|8119667|1000000
5|1|845|8445678|1000000
5|1|817|8177630|1000000
5|1|810|8094223|1000000
5|1|845|8453275|1000000
5|1|909|9087467|1000000
5|1|862|8621348|1000000
5|1|907|9072950|1000000
5|1|911|9105942|1000000
5|1|890|8903132|1000000
5|1|862|8618547|1000000
5|1|939|9394857|1000000
5|1|1052|10517071|1000000
5|1|969|9689082|1000000
5|1|937|9371781|1000000
5|1|835|8342861|1000000
5|1|819|8196698|1000000
5|1|821|8210662|1000000
5|1|809|8088031|1000000
5|1|790|7897657|1000000
5|1|845|8453789|1000000
5|1|792|7917229|1000000
5|1|813|8134098|1000000
5|1|800|7996281|1000000
5|1|831|8309341|1000000
5|1|795|7948300|1000000
5|1|769|7695547|1000000
5|1|821|8207272|1000000
5|1|789|7889359|1000000
5|1|802|8024962|1000000
5|1|786|7853925|1000000
5|1|793|7930242|1000000
5|1|832|8317737|1000000
5|1|872|8718630|1000000
5|1|886|8867672|1000000
5|1|893|8929751|1000000
5|1|931|9310676|1000000
5|1|869|8684624|1000000
5|1|846|8458501|1000000
5|1|914|9144292|1000000
5|1|900|8998795|1000000
5|1|872|8716552|1000000
5|1|876|8759201|1000000
